material_name,cell_volume,cell_a,cell_b,cell_c,cell_alpha,cell_beta,cell_gamma,density,num_sites,cell_length_ratio_max,cell_length_std,cell_sphericity,num_elements,total_atoms,element_diversity,avg_atomic_mass,total_mass,mass_std,avg_electronegativity,electronegativity_std,electronegativity_range,alkali_fraction,has_alkali,alkaline_earth_fraction,has_alkaline_earth,transition_3d_fraction,has_transition_3d,transition_4d_fraction,has_transition_4d,transition_5d_fraction,has_transition_5d,lanthanide_fraction,has_lanthanide,post_transition_fraction,has_post_transition,metal_fraction,nonmetal_fraction,carbon_content,n_o_ratio,heteroatom_content,max_pore_diameter,largest_free_sphere,clean_material_name,purity,recovery,efficiency
DDEC_PARHAS,0.1423135191735541,0.3644490640237182,-0.056182328497957,-0.5546859546128982,-0.1512576425816896,0.0602760063169873,0.6466595911340749,-1.5258540673165797,-0.5666884613758525,-1.1007315794153236,-1.1583074807103024,1.8487857139536328,-0.9698935320612044,-0.5666884613758525,-0.0671520102052346,-0.6145129004058315,-0.959878347017788,-0.9544596550667402,-0.4209962925086093,-0.723195883339882,-0.777072730977334,-0.1104507291135596,-0.1217161238900368,4.545927429478895,4.3757352323386085,-1.319687131281157,-2.5230123657741874,0.0,0.0,0.0,0.0,0.0,0.0,-0.2447633402406729,-0.2983793000147052,0.0095057985615337,-0.0095057985615305,-0.8142187429806298,-0.298462371673629,-0.3728062382357693,0.3756146459729426,0.7658499521293826,PARHAS,0.9414328644843512,0.7310308247813264,0.13662131947350634
DDEC_PARHEW,0.3711375510196708,0.3477823526680282,0.0148507299119342,-0.1961956858150512,-0.1512576425816896,0.946526604504132,-0.0096119702418266,-1.7068507460917484,-0.5666884613758525,-0.9125380109006062,-0.9083307885718253,1.2338833220345085,-0.9698935320612044,-0.5666884613758525,-0.0671520102052346,-0.6145129004058315,-0.959878347017788,-0.9544596550667402,-0.4209962925086093,-0.723195883339882,-0.777072730977334,-0.1104507291135596,-0.1217161238900368,4.545927429478895,4.3757352323386085,-1.319687131281157,-2.5230123657741874,0.0,0.0,0.0,0.0,0.0,0.0,-0.2447633402406729,-0.2983793000147052,0.0095057985615337,-0.0095057985615305,-0.8142187429806298,-0.298462371673629,-0.3728062382357693,0.5410006366228634,0.8998515728005203,PARHEW,0.9285520522705237,0.7353364470413064,0.1168246272162943
DDEC_DEPXAY,1.2749666433632918,-0.0758456840942892,-0.1887599938716962,2.5171768904834453,-0.1512576425816896,0.0602760063169873,-0.0096119702418266,-0.5032992831957298,0.3350915151345062,1.453247997340681,2.299999844817494,-1.723343798114516,0.4838856133697045,0.3350915151345062,-0.5561361489539968,0.3854467937980705,0.8742337029885946,0.393316417995516,0.2278151022962031,0.1926609560120968,0.1474655924049417,-0.1104507291135596,-0.1217161238900368,-0.2143321465930949,-0.2285330228871162,0.5620985496882944,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.2447633402406729,-0.2983793000147052,0.3202565676073114,-0.3202565676073098,0.3092734206487213,-0.285099515955226,0.5055702486458286,-0.3890778953705114,-0.4898912136113236,DEPXAY,0.8807144512815208,0.7973527907952781,0.1064543518013647
DDEC_NURMUJ,-1.5447414279257308,-1.4308183319790888,-1.5516780576535014,-0.2941686386025323,-0.1512576425816896,0.5557226804786473,-0.0096119702418266,-0.1440816723860393,-1.208339598508223,0.5187580078134433,0.3444012851479462,-1.0898005430296032,-0.9698935320612044,-1.208339598508223,1.7322488298212906,-0.7857712707275757,-1.3362032788452909,-1.080951681294494,-1.0805542058880009,-1.033842084514485,-1.1493749513899751,-0.1104507291135596,-0.1217161238900368,-0.2143321465930949,-0.2285330228871162,0.996356783758168,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.2447633402406729,-0.2983793000147052,0.774430768520371,-0.7744307685203675,0.5311689623218782,-0.298462371673629,0.4641579577010387,-0.8710292400795131,-0.5628993682225913,NURMUJ,0.8626961480310592,0.8151887861766866,0.0867610607185993
DDEC_XENKIM,1.1486133417029918,-0.2947463547156073,1.9776503084989725,0.8615612256893936,-0.5688247114363472,-1.6322871591445856,-1.4325830406002062,-1.1853737222673528,0.0576207531313189,0.329160051641017,0.7010589749538645,-0.0550908432001305,0.4838856133697045,0.0576207531313189,-0.3550387758755014,-0.159294656429369,0.2376116570809407,0.4446774577703149,-0.0658509131979101,0.361269319550459,0.4312637486330455,-0.1104507291135596,-0.1217161238900368,3.015843994312898,4.3757352323386085,-1.319687131281157,-2.5230123657741874,0.0,0.0,0.0,0.0,0.0,0.0,-0.2447633402406729,-0.2983793000147052,-0.523209805516942,0.5232098055169437,1.215875205199047,-0.2895538011946936,-0.032789533636441,0.4841713116487287,0.5964795538440955,XENKIM,0.8705676926532095,0.8090428120592829,0.08416445542711716
DDEC_GOGWAB,-0.9622008894359672,0.2188436826858688,-0.798357477072337,-1.2335059339070753,-0.5175793834295933,-1.5217780320932233,-1.339658788200205,-0.5234134687820585,-1.1563138306326255,-0.6670912798290263,-0.6440224712501423,0.2325445017868022,1.9376647588006133,-1.1563138306326255,3.1842749903060152,-0.9846801254136528,-1.0758785144257532,-1.3350928194260077,-1.3018500212355113,-1.2099391406140398,-1.199844211131571,-0.1104507291135596,-0.1217161238900368,-0.2143321465930949,-0.2285330228871162,0.114054339933663,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.2447633402406729,-0.2983793000147052,-0.1483358619061627,0.1483358619061624,-0.2127094250014664,-0.2450109488000169,1.095202391145457,-0.6030093539510698,-0.3451710948549137,GOGWAB,0.8289879552295019,0.8010455541911286,0.080452387660767
DDEC_GAXVUY,-0.4724605165547166,-1.3570312216507858,-0.2148855113524103,0.1963337465545167,-0.1512576425816896,0.0602760063169873,0.7374473772079455,-0.4966672265759466,-0.705423842377446,0.9622636547063974,0.5514216385269333,-0.8303106316916825,0.4838856133697045,-0.705423842377446,0.6859358612367096,-0.6726347205862043,-0.633741094933056,-0.6739965044385955,-0.7992737463337983,-0.5433423609821638,-0.5839729545747069,-0.1104507291135596,-0.1217161238900368,2.445812910623605,4.3757352323386085,-0.4341409284720036,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.2447633402406729,-0.2983793000147052,0.2044866732569236,-0.2044866732569225,0.6147061074223604,-0.298462371673629,-0.1594624235852104,-0.1510146810579522,-0.7756740185851093,GAXVUY,0.8038008094580658,0.8734307861772487,0.07862082134159512
DDEC_CANRUG,0.6024134420409751,-0.2552772770493844,-0.1491166675046308,1.492666733875232,-0.1512576425816896,0.0602760063169873,1.886663860450056,-1.0134957259153972,0.0402788305061197,0.817546308059517,1.2460705514240575,-1.415985680301812,0.4838856133697045,0.0402788305061197,-0.3405452715094838,-0.3780208052289596,-0.0885678476909721,0.2352657077119239,-0.1665434728492196,0.2607472292504347,0.2966790559887899,-0.1104507291135596,-0.1217161238900368,2.230125473551981,4.3757352323386085,-1.319687131281157,-2.5230123657741874,0.0,0.0,0.0,0.0,0.0,0.0,-0.2447633402406729,-0.2983793000147052,-0.7967664670707537,0.7967664670707568,0.92778225482597,-0.298462371673629,-0.9446061018262312,0.2328599628585126,-0.0123673944753359,CANRUG,0.7988995556938067,0.8142451569502979,0.07707679305574748
DDEC_HOWPUF,0.2234626088774709,-0.761878708173837,-0.3882114178397652,0.9914474074495644,-0.1512576425816896,0.0602760063169873,-0.0096119702418266,-0.7737456207025304,-0.3932692351238604,0.9633867947095462,1.029080079479474,-1.2217676548812135,0.4838856133697045,-0.3932692351238604,0.1313362659887662,-0.4616169727702673,-0.2287722310508334,-0.6631257216651348,-0.5004122916439172,-0.6556933484225712,-0.5766585691049104,-0.1104507291135596,-0.1217161238900368,-0.2143321465930949,-0.2285330228871162,0.0807115150216904,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.2447633402406729,-0.2983793000147052,-0.1832078566606537,0.1832078566606561,-0.0798178314944419,-0.2717366602368229,0.2176103650994982,0.7185101518839265,0.4052733315525333,HOWPUF,0.8777529854047267,0.7891122811561091,0.07585477585869435
DDEC_LADHEF,-0.2953140222519078,-0.528050008161821,-0.7116942931174978,0.3543411895607101,-0.5910667612747827,-0.5025869376575642,-1.6257997479959987,-0.2544934442400218,-0.6880819197522469,0.1198953999896599,0.3375525795686849,-0.890868084399266,0.4838856133697045,-0.6880819197522469,0.6475336348346781,-0.5144467167060287,-0.3227275384149347,-0.8330650064020763,-0.7623490177638771,-0.9928579406042968,-0.8992229683229354,-0.1104507291135596,-0.1217161238900368,-0.2143321465930949,-0.2285330228871162,0.8620933683935694,0.3963516047584449,0.0,0.0,0.0,0.0,0.0,0.0,-0.2447633402406729,-0.2983793000147052,0.6340097595424201,-0.6340097595424181,-0.2509324251406103,-0.2450109488000169,0.8098605603705895,0.2138976042069355,-0.2567400865505462,LADHEF,0.8761611100841331,0.8281220292493714,0.07510717346065293
DDEC_HAFVOB,3.048439451860923,1.4972729882426867,2.7451711025891967,2.459300502854296,-0.1512576425816896,0.0602760063169873,-0.0096119702418266,-0.7240119138209771,3.942211421175941,0.0352732653128169,0.6742825805729753,-0.0067823742069279,0.4838856133697045,3.942211421175941,-1.4275580989608097,2.369888701231668,2.2537617367025327,4.194801978447786,3.350026657086187,4.080264633163722,4.342997097880207,-0.1104507291135596,-0.1217161238900368,3.015843994312898,4.3757352323386085,-1.319687131281157,-2.5230123657741874,0.0,0.0,0.0,0.0,0.0,0.0,-0.2447633402406729,-0.2983793000147052,-0.523209805516942,0.5232098055169437,0.8862018289989285,-0.298462371673629,-0.8531472971141852,-0.345585534968499,-0.3590394264155619,HAFVOB,0.7910524071876069,0.8126925958893062,0.0726624818517503
DDEC_TECTUS,1.500414401984476,1.7733263187774384,1.567634246882356,0.1683519845694062,0.2570113882250365,1.2643610460051262,1.7372522008210267,-0.3517526444799584,0.820665348640084,-0.99371159631719,-0.9060485998097068,1.1824206129795811,-0.9698935320612044,0.820665348640084,-1.0398011129222753,1.2831363560872768,1.1701031865856937,1.03420868907114,1.3021577074210449,1.051603681946507,0.7618739718678467,-0.1104507291135596,-0.1217161238900368,6.742970310742892,4.3757352323386085,-1.319687131281157,-2.5230123657741874,0.0,0.0,0.0,0.0,0.0,0.0,-0.2447633402406729,-0.2983793000147052,0.774430768520371,-0.7744307685203675,0.5311689623218782,-0.298462371673629,0.4641579577010387,-0.4164357844315435,-0.6044545094250693,TECTUS,0.7754151430999379,0.89411495269634,0.07017629775912704
